time_hms,kb_per_sec_in,kb_per_sec_out
12:41:39,0.0,0.0
12:41:40,0.0,0.0
12:41:41,0.0,0.0
12:41:42,0.0,0.0
12:41:43,0.0,0.0
12:41:44,0.0,0.0
12:41:45,0.0,0.0
12:41:46,0.0,0.0
12:41:47,0.0,0.0
12:41:48,0.0,0.1
12:41:49,0.0,0.0
12:41:50,0.0,0.0
12:41:51,0.0,0.0
12:41:52,0.0,0.1
12:41:53,0.0,0.0
12:41:54,0.0,0.0
12:41:55,0.0,0.0
12:41:56,0.0,0.0
12:41:57,0.0,0.0
12:41:58,0.0,0.1
12:41:59,0.0,0.0
12:42:00,0.0,0.0
12:42:01,0.0,0.5
12:42:02,0.0,0.0
12:42:03,0.0,0.0
12:42:04,0.0,0.0
12:42:05,0.1,0.0
12:42:06,0.0,0.0
12:42:07,0.0,0.0
12:42:08,0.0,0.0
12:42:09,0.0,0.0
12:42:10,0.0,0.0
12:42:11,0.0,0.0
12:42:12,0.0,0.0
12:42:13,0.0,0.0
12:42:14,0.0,0.0
12:42:15,0.0,0.0
12:42:16,0.0,0.0
12:42:17,0.0,0.1
12:42:18,0.0,0.0
12:42:19,0.0,0.0
12:42:20,0.0,0.0
12:42:21,0.0,0.0
12:42:22,0.0,0.0
12:42:23,0.0,0.0
12:42:24,0.0,0.0
12:42:25,0.0,0.0
12:42:26,0.0,0.0
12:42:27,0.0,0.0
12:42:28,0.0,0.0
12:42:29,0.0,0.0
12:42:30,0.0,0.0
12:42:31,0.0,0.0
12:42:32,0.0,0.0
12:42:33,0.0,0.0
12:42:34,0.0,0.0
12:42:35,0.0,0.0
12:42:36,0.0,0.0
12:42:37,0.0,0.0
12:42:38,0.0,0.0
12:42:39,0.0,0.0
12:42:40,0.0,0.0
12:42:41,0.0,0.0
12:42:42,0.0,0.0
12:42:43,0.0,0.0
12:42:44,0.0,0.0
12:42:45,0.0,0.0
12:42:46,0.0,0.0
12:42:47,0.0,0.0
12:42:48,0.0,0.0
12:42:49,0.0,0.0
12:42:50,0.0,0.0
12:42:51,0.0,0.0
12:42:52,0.0,0.0
12:42:53,0.0,0.0
12:42:54,0.0,0.0
12:42:55,0.0,0.0
12:42:56,0.0,0.0
12:42:57,0.0,0.0
12:42:58,0.0,0.0
12:42:59,0.0,0.0
12:43:00,0.0,0.0
12:43:01,0.0,0.0
12:43:02,0.0,0.0
12:43:03,0.0,0.0
12:43:04,0.0,0.0
12:43:05,0.0,0.0
12:43:06,0.0,0.0
12:43:07,0.0,0.0
12:43:08,0.0,0.0
12:43:09,0.0,0.0
12:43:10,0.0,0.0
12:43:11,0.0,0.0
12:43:12,0.0,0.0
12:43:13,0.0,0.0
12:43:14,0.0,0.0
12:43:15,0.0,0.0
12:43:16,0.0,0.0
12:43:17,0.0,0.0
12:43:18,0.0,0.0
12:43:19,0.0,0.0
