      Time     KB/s_in    KB/s_out
  16:56:12         0.0         0.0
  16:56:13         0.0         0.4
  16:56:14         0.0         0.0
  16:56:15         0.0         0.0
  16:56:16         0.0         0.0
  16:56:17         0.0         0.0
  16:56:18         0.0         0.2
  16:56:19         0.0         0.1
  16:56:20         0.1         0.0
  16:56:21         0.0         0.4
  16:56:22         0.0         0.0
  16:56:23         0.0         0.0
  16:56:24         0.0         0.0
  16:56:25         0.0         0.0
  16:56:26         0.0         0.0
  16:56:27         0.0         0.0
  16:56:28         0.0         0.0
  16:56:29         0.0         0.0
  16:56:30         0.0         0.0
  16:56:31         0.0         0.0
  16:56:32         0.0         0.0
  16:56:33         0.0         0.1
  16:56:34         0.0         0.1
  16:56:35         0.0         0.0
  16:56:36         0.0         0.0
  16:56:37         0.0         0.6
  16:56:38         0.0         0.0
  16:56:39         0.1         0.0
  16:56:40         0.0         0.0
  16:56:41         0.0         0.0
  16:56:42         0.0         0.0
  16:56:43         0.0         0.0
  16:56:44         0.0         0.0
  16:56:45         0.0         0.0
  16:56:46         0.0         0.0
  16:56:47         0.0         0.0
  16:56:48         0.0         0.0
  16:56:49         0.0         0.0
  16:56:50         0.0         0.0
  16:56:51         0.0         0.0
  16:56:52         0.0         0.0
  16:56:53         0.0         0.0
  16:56:54         0.0         0.0
  16:56:55         0.0         0.0
  16:56:56         0.0         0.0
  16:56:57         0.0         0.0
  16:56:58         0.0         0.0
  16:56:59         0.0         0.0
  16:57:00         0.0         0.0
  16:57:01         0.0         0.0
  16:57:02         0.0         0.0
  16:57:03         0.0         0.0
  16:57:04         0.0         0.0
  16:57:05         0.0         0.1
  16:57:06         0.0         0.0
  16:57:07         0.0         0.0
  16:57:08         0.0         0.0
  16:57:09         0.0         0.4
  16:57:10         0.0         0.0
  16:57:11         0.0         0.1
  16:57:12         0.0         0.0
  16:57:13         0.0         0.1
  16:57:14         0.0         0.0
  16:57:15         0.0         0.0
  16:57:16         0.0         0.0
  16:57:17         0.1         0.0
  16:57:18         0.0         0.0
  16:57:19         0.0         0.0
  16:57:20         0.0         0.0
  16:57:21         0.0         0.0
  16:57:22         0.0         0.0
  16:57:23         0.0         0.0
  16:57:24         0.0         0.0
  16:57:25         0.0         0.0
  16:57:26         0.0         0.0
  16:57:27         0.0         0.0
  16:57:28         0.0         0.0
  16:57:29         0.0         0.0
  16:57:30         0.0         0.0
  16:57:31         0.0         0.0
  16:57:32         0.0         0.0
  16:57:33         0.0         0.0
  16:57:34         0.0         0.0
  16:57:35         0.0         0.0
  16:57:36         0.0         0.0
  16:57:37         0.0         0.0
  16:57:38         0.0         0.0
  16:57:39         0.0         0.0
  16:57:40         0.0         0.0
  16:57:41         0.0         0.0
  16:57:42         0.0         0.0
  16:57:43         0.0         0.0
  16:57:44         0.0         0.0
  16:57:45         0.0         0.0
  16:57:46         0.0         0.0
  16:57:47         0.0         0.0
  16:57:48         0.0         0.0
  16:57:49         0.0         0.0
  16:57:50         0.0         0.0
  16:57:51         0.0         0.0
  16:57:52         0.0         0.0
  16:57:53         0.0         0.0
  16:57:54         0.0         0.0
  16:57:55         0.0         0.0
  16:57:56         0.0         0.0
  16:57:57         0.0         0.0
  16:57:58         0.0         0.0
  16:57:59         0.0         0.0
  16:58:00         0.0         0.0
  16:58:01         0.0         0.0
  16:58:02         0.0         0.0
  16:58:03         0.0         0.0
  16:58:04         0.0         0.0
  16:58:05         0.0         0.1
  16:58:06         0.0         0.0
  16:58:07         0.0         0.1
  16:58:08         0.0         0.0
  16:58:09         0.0         0.0
  16:58:10         0.0         0.0
  16:58:11         0.0         0.0
  16:58:12         0.0         0.0
  16:58:13         0.0         0.4
  16:58:14         0.0         0.0
  16:58:15         0.0         0.0
  16:58:16         0.0         0.0
  16:58:17         0.0         0.0
  16:58:18         0.0         0.0
  16:58:19         0.0         0.1
  16:58:20         0.0         0.0
  16:58:21         0.0         0.0
  16:58:22         0.0         0.0
  16:58:23         0.0         0.0
  16:58:24         0.0         0.0
  16:58:25         0.0         0.1
