time_hms,kb_per_sec_in,kb_per_sec_out
09:43:13,0.0,0.0
09:43:14,0.0,0.4
09:43:15,0.0,0.0
09:43:16,0.0,0.0
09:43:17,0.0,0.0
09:43:18,0.0,0.1
09:43:19,0.1,0.1
09:43:20,0.0,0.1
09:43:21,0.0,0.0
09:43:22,0.0,0.4
09:43:23,0.0,0.0
09:43:24,0.0,0.0
09:43:25,0.0,0.0
09:43:26,0.0,0.0
09:43:27,0.0,0.0
09:43:28,0.0,0.0
09:43:29,0.0,0.0
09:43:30,0.0,0.0
09:43:31,0.0,0.0
09:43:32,0.0,0.0
09:43:33,0.0,0.1
09:43:34,0.1,0.0
09:43:35,0.0,0.0
09:43:36,0.0,0.0
09:43:37,0.0,0.0
09:43:38,0.0,0.6
09:43:39,0.0,0.0
09:43:40,0.0,0.0
09:43:41,0.0,0.0
09:43:42,0.0,0.0
09:43:43,0.0,0.0
09:43:44,0.0,0.0
09:43:45,0.0,0.0
09:43:46,0.0,0.0
09:43:47,0.0,0.0
09:43:48,0.0,0.0
09:43:49,0.0,0.0
09:43:50,0.0,0.0
09:43:51,0.0,0.0
09:43:52,0.0,0.0
09:43:53,0.0,0.0
09:43:54,0.0,0.0
09:43:55,0.0,0.0
09:43:56,0.0,0.0
09:43:57,0.0,0.0
09:43:58,0.0,0.0
09:43:59,0.0,0.0
09:44:00,0.0,0.0
09:44:01,0.0,0.0
09:44:02,0.0,0.0
09:44:03,0.0,0.1
09:44:04,0.0,0.0
09:44:05,0.1,0.1
09:44:06,0.0,0.0
09:44:07,0.0,0.0
09:44:08,0.0,0.0
09:44:09,0.0,0.0
09:44:10,0.0,0.4
09:44:11,0.0,0.0
09:44:12,0.0,0.0
09:44:13,0.0,0.2
09:44:14,0.0,0.0
09:44:15,0.0,0.0
09:44:16,0.0,0.0
09:44:17,0.0,0.0
09:44:18,0.0,0.0
09:44:19,0.0,0.0
09:44:20,0.0,0.0
09:44:21,0.0,0.0
09:44:22,0.0,0.0
09:44:23,0.0,0.0
09:44:24,0.0,0.0
09:44:25,0.0,0.0
09:44:26,0.0,0.0
09:44:27,0.0,0.0
09:44:28,0.0,0.0
09:44:29,0.0,0.0
09:44:30,0.0,0.0
09:44:31,0.0,0.0
09:44:32,0.0,0.0
09:44:33,0.0,0.0
09:44:34,0.0,0.0
09:44:35,0.0,0.0
09:44:36,0.0,0.0
09:44:37,0.0,0.0
09:44:38,0.0,0.0
09:44:39,0.0,0.0
09:44:40,0.0,0.0
09:44:41,0.0,0.0
09:44:42,0.0,0.0
09:44:43,0.0,0.0
09:44:44,0.0,0.0
09:44:45,0.0,0.0
09:44:46,0.0,0.0
09:44:47,0.0,0.0
09:44:48,0.0,0.0
09:44:49,0.0,0.0
09:44:50,0.0,0.0
09:44:51,0.0,0.0
09:44:52,0.0,0.0
09:44:53,0.0,0.0
09:44:54,0.0,0.0
09:44:55,0.0,0.0
09:44:56,0.0,0.0
09:44:57,0.0,0.0
09:44:58,0.0,0.0
09:44:59,0.0,0.0
09:45:00,0.0,0.0
09:45:01,0.0,0.0
09:45:02,0.1,0.0
09:45:03,0.0,0.0
09:45:04,0.0,0.1
09:45:05,0.0,0.0
09:45:06,0.0,0.0
09:45:07,0.0,0.0
09:45:08,0.0,0.1
09:45:09,0.0,0.0
09:45:10,0.0,0.0
09:45:11,0.0,0.0
09:45:12,0.0,0.0
09:45:13,0.0,0.0
09:45:14,0.0,0.4
09:45:15,0.0,0.0
09:45:16,0.0,0.0
09:45:17,0.0,0.0
09:45:18,0.0,0.1
09:45:19,0.0,0.0
09:45:20,0.0,0.0
09:45:21,0.0,0.1
09:45:22,0.0,0.0
09:45:23,0.0,0.1
09:45:24,0.0,0.0
09:45:25,0.0,0.0
09:45:26,0.0,0.0
09:45:27,0.0,0.0
09:45:28,0.0,0.0
09:45:29,0.0,0.0
09:45:30,0.0,0.0
09:45:31,0.0,0.0
09:45:32,0.0,0.0
09:45:33,0.0,0.0
09:45:34,0.0,0.0
09:45:35,0.0,0.0
09:45:36,0.0,0.0
09:45:37,0.0,0.0
09:45:38,0.0,0.0
09:45:39,0.0,0.0
09:45:40,0.0,0.0
09:45:41,0.0,0.0
09:45:42,0.0,0.0
09:45:43,0.0,0.0
09:45:44,0.0,0.0
09:45:45,0.0,0.0
09:45:46,0.0,0.0
09:45:47,0.0,0.0
09:45:48,0.0,0.0
09:45:49,0.0,0.0
09:45:50,0.0,0.0
09:45:51,0.0,0.0
09:45:52,0.0,0.0
09:45:53,0.0,0.0
09:45:54,0.0,0.0
09:45:55,0.0,0.0
09:45:56,0.0,0.0
09:45:57,0.0,0.0
09:45:58,0.0,0.0
09:45:59,0.0,0.0
09:46:00,0.0,0.0
09:46:01,0.0,0.0
09:46:02,0.0,0.0
09:46:03,0.0,0.0
09:46:04,0.0,0.0
09:46:05,0.0,0.0
09:46:06,0.0,0.0
09:46:07,0.0,0.0
09:46:08,0.0,0.0
09:46:09,0.0,0.0
09:46:10,0.0,0.0
09:46:11,0.0,0.0
09:46:12,0.0,0.0
09:46:13,0.0,0.0
09:46:14,0.0,0.0
09:46:15,0.0,0.0
09:46:16,0.0,0.0
09:46:17,0.0,0.0
09:46:18,0.0,0.0
09:46:19,0.0,0.0
09:46:20,0.0,0.0
09:46:21,0.0,0.0
