      Time     KB/s_in    KB/s_out
  11:16:39         0.0         0.0
  11:16:40         0.0         0.0
  11:16:41         0.0         0.0
  11:16:42         0.0         0.0
  11:16:43         0.0         0.0
  11:16:44         0.0         0.0
  11:16:45         0.0         0.0
  11:16:46         0.0         0.0
  11:16:47         0.0         0.0
  11:16:48         0.0         0.0
  11:16:49         0.0         0.0
  11:16:50         0.0         0.0
  11:16:51         0.0         0.0
  11:16:52         0.0         0.0
  11:16:53         0.0         0.0
  11:16:54         0.0         0.0
  11:16:55         0.0         0.0
  11:16:56         0.0         0.0
  11:16:57         0.0         0.0
  11:16:58         0.0         0.0
  11:16:59         0.0         0.0
  11:17:00         0.0         0.0
  11:17:01         0.0         0.0
  11:17:02         0.0         0.0
  11:17:03         0.0         0.1
  11:17:04         0.0         0.0
  11:17:05         0.0         0.0
  11:17:06         0.0         0.0
  11:17:07         0.0         0.0
  11:17:08         0.0         0.0
  11:17:09         0.0         0.0
  11:17:10         0.0         0.0
  11:17:11         0.0         0.0
  11:17:12         0.0         0.0
  11:17:13         0.0         0.0
  11:17:14         0.0         0.1
  11:17:15         0.0         0.0
  11:17:16         0.0         0.1
  11:17:17         0.0         0.4
  11:17:18         0.0         0.1
  11:17:19         0.0         0.0
  11:17:20         0.0         0.0
  11:17:21         0.0         0.0
  11:17:22         0.1         0.1
  11:17:23         0.0         0.0
  11:17:24         0.0         0.0
  11:17:25         0.0         0.0
  11:17:26         0.0         0.0
  11:17:27         0.0         0.0
  11:17:28         0.0         0.0
  11:17:29         0.0         0.0
  11:17:30         0.0         0.0
  11:17:31         0.0         0.0
  11:17:32         0.0         0.0
  11:17:33         0.0         0.0
  11:17:34         0.0         0.0
  11:17:35         0.0         0.0
  11:17:36         0.0         0.0
  11:17:37         0.0         0.0
  11:17:38         0.0         0.0
  11:17:39         0.0         0.0
  11:17:40         0.0         0.0
  11:17:41         0.0         0.0
  11:17:42         0.0         0.0
  11:17:43         0.0         0.0
  11:17:44         0.0         0.0
  11:17:45         0.0         0.0
  11:17:46         0.0         0.0
  11:17:47         0.0         0.0
  11:17:48         0.0         0.0
  11:17:49         0.0         0.0
  11:17:50         0.0         0.0
  11:17:51         0.0         0.0
  11:17:52         0.0         0.0
  11:17:53         0.0         0.0
  11:17:54         0.0         0.0
  11:17:55         0.0         0.0
  11:17:56         0.0         0.0
  11:17:57         0.0         0.0
  11:17:58         0.0         0.0
  11:17:59         0.0         0.0
  11:18:00         0.0         0.0
  11:18:01         0.0         0.0
  11:18:02         0.0         0.0
  11:18:03         0.0         0.0
  11:18:04         0.0         0.0
  11:18:05         0.0         0.0
  11:18:06         0.0         0.0
  11:18:07         0.0         0.0
  11:18:08         0.0         0.0
  11:18:09         0.0         0.0
  11:18:10         0.0         0.0
  11:18:11         0.0         0.0
  11:18:12         0.0         0.0
  11:18:13         0.0         0.0
  11:18:14         0.0         0.0
  11:18:15         0.0         0.0
  11:18:16         0.0         0.0
  11:18:17         0.0         0.0
  11:18:18         0.0         0.0
  11:18:19         0.0         0.0
  11:18:20         0.0         0.0
  11:18:21         0.0         0.0
  11:18:22         0.0         0.0
  11:18:23         0.0         0.0
  11:18:24         0.0         0.0
  11:18:25         0.0         0.0
  11:18:26         0.0         0.0
  11:18:27         0.0         0.0
  11:18:28         0.0         0.0
  11:18:29         0.0         0.0
  11:18:30         0.0         0.0
  11:18:31         0.0         0.0
  11:18:32         0.0         0.0
  11:18:33         0.0         0.0
  11:18:34         0.0         0.0
  11:18:35         0.0         0.0
