time_hms,kb_per_sec_in,kb_per_sec_out
17:43:49,0.0,0.0
17:43:50,0.0,0.4
17:43:51,0.0,0.0
17:43:52,0.0,0.0
17:43:53,0.0,0.0
17:43:54,0.0,0.1
17:43:55,0.0,0.2
17:43:56,0.1,0.1
17:43:57,0.0,0.0
17:43:58,0.0,0.4
17:43:59,0.0,0.0
17:44:00,0.0,0.0
17:44:01,0.0,0.0
17:44:02,0.0,0.0
17:44:03,0.0,0.0
17:44:04,0.0,0.0
17:44:05,0.0,0.0
17:44:06,0.0,0.0
17:44:07,0.0,0.0
17:44:08,0.0,0.1
17:44:09,0.0,0.1
17:44:10,0.0,0.1
17:44:11,0.0,0.1
17:44:12,0.0,0.0
17:44:13,0.0,0.0
17:44:14,0.1,0.5
17:44:15,0.0,0.0
17:44:16,0.0,0.0
17:44:17,0.0,0.0
17:44:18,0.0,0.0
17:44:19,0.0,0.0
17:44:20,0.0,0.0
17:44:21,0.0,0.0
17:44:22,0.0,0.0
17:44:23,0.0,0.0
17:44:24,0.0,0.0
17:44:25,0.0,0.0
17:44:26,0.0,0.0
17:44:27,0.0,0.0
17:44:28,0.0,0.0
17:44:29,0.0,0.0
17:44:30,0.0,0.0
17:44:31,0.0,0.0
17:44:32,0.0,0.0
17:44:33,0.0,0.0
17:44:34,0.0,0.0
17:44:35,0.0,0.0
17:44:36,0.0,0.0
17:44:37,0.0,0.1
17:44:38,0.0,0.0
17:44:39,0.0,0.1
17:44:40,0.0,0.0
17:44:41,0.0,0.1
17:44:42,0.0,0.0
17:44:43,0.0,0.0
17:44:44,0.0,0.0
17:44:45,0.0,0.1
17:44:46,0.0,0.4
17:44:47,0.0,0.0
17:44:48,0.0,0.0
17:44:49,0.1,0.0
17:44:50,0.0,0.0
17:44:51,0.0,0.1
17:44:52,0.0,0.0
17:44:53,0.0,0.0
17:44:54,0.0,0.0
17:44:55,0.0,0.0
17:44:56,0.0,0.0
17:44:57,0.0,0.0
17:44:58,0.0,0.0
17:44:59,0.0,0.0
17:45:00,0.0,0.0
17:45:01,0.0,0.0
17:45:02,0.0,0.0
17:45:03,0.0,0.0
17:45:04,0.0,0.0
17:45:05,0.0,0.0
17:45:06,0.0,0.0
17:45:07,0.0,0.0
17:45:08,0.0,0.0
17:45:09,0.0,0.0
17:45:10,0.0,0.0
17:45:11,0.0,0.0
17:45:12,0.0,0.0
17:45:13,0.0,0.0
17:45:14,0.0,0.0
17:45:15,0.0,0.0
17:45:16,0.0,0.0
17:45:17,0.0,0.0
17:45:18,0.0,0.0
17:45:19,0.0,0.0
17:45:20,0.0,0.0
17:45:21,0.0,0.0
17:45:22,0.0,0.0
17:45:23,0.0,0.0
17:45:24,0.0,0.0
17:45:25,0.0,0.0
17:45:26,0.0,0.0
17:45:27,0.0,0.0
17:45:28,0.0,0.0
17:45:29,0.0,0.0
17:45:30,0.0,0.0
17:45:31,0.0,0.0
17:45:32,0.0,0.0
17:45:33,0.0,0.0
17:45:34,0.0,0.0
17:45:35,0.0,0.0
17:45:36,0.0,0.1
17:45:37,0.0,0.0
17:45:38,0.0,0.1
17:45:39,0.0,0.0
17:45:40,0.0,0.1
17:45:41,0.0,0.0
17:45:42,0.0,0.0
17:45:43,0.0,0.0
17:45:44,0.0,0.0
17:45:45,0.0,0.0
17:45:46,0.0,0.0
17:45:47,0.0,0.0
17:45:48,0.0,0.0
17:45:49,0.0,0.1
17:45:50,0.0,0.4
17:45:51,0.0,0.0
17:45:52,0.0,0.0
17:45:53,0.0,0.0
17:45:54,0.0,0.0
17:45:55,0.0,0.0
17:45:56,0.0,0.0
17:45:57,0.1,0.0
17:45:58,0.0,0.0
17:45:59,0.0,0.0
17:46:00,0.0,0.0
17:46:01,0.0,0.0
17:46:02,0.0,0.0
17:46:03,0.0,0.0
17:46:04,0.0,0.0
17:46:05,0.0,0.1
17:46:06,0.0,0.0
17:46:07,0.0,0.0
17:46:08,0.0,0.0
17:46:09,0.0,0.0
17:46:10,0.0,0.0
17:46:11,0.0,0.0
17:46:12,0.0,0.0
17:46:13,0.0,0.0
17:46:14,0.0,0.0
17:46:15,0.0,0.0
17:46:16,0.0,0.0
17:46:17,0.0,0.0
17:46:18,0.0,0.0
17:46:19,0.0,0.0
17:46:20,0.0,0.0
17:46:21,0.0,0.0
17:46:22,0.0,0.0
17:46:23,0.0,0.0
17:46:24,0.0,0.0
17:46:25,0.0,0.0
17:46:26,0.0,0.0
17:46:27,0.0,0.0
17:46:28,0.0,0.0
17:46:29,0.0,0.0
17:46:30,0.0,0.0
17:46:31,0.0,0.0
17:46:32,0.0,0.0
17:46:33,0.0,0.0
17:46:34,0.0,0.0
17:46:35,0.0,0.0
17:46:36,0.0,0.0
17:46:37,0.0,0.0
17:46:38,0.0,0.0
17:46:39,0.0,0.0
17:46:40,0.0,0.0
17:46:41,0.0,0.0
17:46:42,0.0,0.0
17:46:43,0.0,0.0
17:46:44,0.0,0.0
17:46:45,0.0,0.0
17:46:46,0.0,0.0
17:46:47,0.0,0.0
17:46:48,0.0,0.0
17:46:49,0.0,0.0
17:46:50,0.0,0.0
17:46:51,0.0,0.0
17:46:52,0.0,0.0
17:46:53,0.0,0.0
17:46:54,0.0,0.0
17:46:55,0.0,0.0
17:46:56,0.0,0.0
17:46:57,0.0,0.0
17:46:58,0.0,0.0
17:46:59,0.0,0.0
17:47:00,0.0,0.0
17:47:01,0.0,0.0
17:47:02,0.0,0.0
17:47:03,0.0,0.0
17:47:04,0.0,0.0
17:47:05,0.0,0.0
17:47:06,0.0,0.0
17:47:07,0.0,0.0
17:47:08,0.0,0.0
