time_hms,kb_per_sec_in,kb_per_sec_out
19:14:10,0.0,0.0
19:14:11,0.0,0.0
19:14:12,0.0,0.0
19:14:13,0.0,0.0
19:14:14,0.0,0.0
19:14:15,0.0,0.0
19:14:16,0.0,0.0
19:14:17,0.0,0.0
19:14:18,0.0,0.0
19:14:19,0.0,0.0
19:14:20,0.0,0.0
19:14:21,0.0,0.0
19:14:22,0.0,0.0
19:14:23,0.0,0.0
19:14:24,0.0,0.0
19:14:25,0.0,0.0
19:14:26,0.0,0.0
19:14:27,0.0,0.0
19:14:28,0.0,0.0
19:14:29,0.0,0.0
19:14:30,0.0,0.0
19:14:31,0.0,0.0
19:14:32,0.0,0.0
19:14:33,0.0,0.0
19:14:34,0.0,0.0
19:14:35,0.0,0.0
19:14:36,0.0,0.0
19:14:37,0.0,0.0
19:14:38,0.0,0.0
19:14:39,0.0,0.0
19:14:40,0.0,0.0
19:14:41,0.0,0.0
19:14:42,0.0,0.0
19:14:43,0.0,0.0
