      Time     KB/s_in    KB/s_out
  11:24:00         0.0         0.0
  11:24:01         0.0         0.0
  11:24:02         0.0         0.0
  11:24:03         0.0         0.0
  11:24:04         0.0         0.0
  11:24:05         0.0         0.0
  11:24:06         0.0         0.0
  11:24:07         0.0         0.0
  11:24:08         0.0         0.0
  11:24:09         0.0         0.0
  11:24:10         0.0         0.0
  11:24:11         0.0         0.0
  11:24:12         0.0         0.0
  11:24:13         0.0         0.0
  11:24:14         0.0         0.0
  11:24:15         0.0         0.0
  11:24:16         0.0         0.0
  11:24:17         0.0         0.0
  11:24:18         0.0         0.0
  11:24:19         0.0         0.0
  11:24:20         0.0         0.0
  11:24:21         0.0         0.0
  11:24:22         0.0         0.0
  11:24:23         0.0         0.0
  11:24:24         0.0         0.0
  11:24:25         0.0         0.0
  11:24:26         0.0         0.0
  11:24:27         0.0         0.0
  11:24:28         0.0         0.0
  11:24:29         0.0         0.0
  11:24:30         0.0         0.1
  11:24:31         0.0         0.0
  11:24:32         0.0         0.1
  11:24:33         0.0         0.0
  11:24:34         0.1         0.0
  11:24:35         0.0         0.0
  11:24:36         0.0         0.1
  11:24:37         0.0         0.0
  11:24:38         0.0         0.0
  11:24:39         0.0         0.4
  11:24:40         0.0         0.0
  11:24:41         0.0         0.0
  11:24:42         0.0         0.0
  11:24:43         0.0         0.0
  11:24:44         0.0         0.0
  11:24:45         0.0         0.0
  11:24:46         0.0         0.0
  11:24:47         0.0         0.0
  11:24:48         0.0         0.1
  11:24:49         0.0         0.0
  11:24:50         0.0         0.0
  11:24:51         0.0         0.0
  11:24:52         0.0         0.0
  11:24:53         0.0         0.0
  11:24:54         0.0         0.0
  11:24:55         0.0         0.0
  11:24:56         0.0         0.0
  11:24:57         0.0         0.0
  11:24:58         0.0         0.0
  11:24:59         0.0         0.0
  11:25:00         0.0         0.1
  11:25:01         0.0         0.0
  11:25:02         0.0         0.0
  11:25:03         0.0         0.0
  11:25:04         0.0         0.0
  11:25:05         0.0         0.0
  11:25:06         0.0         0.0
  11:25:07         0.0         0.0
  11:25:08         0.0         0.0
  11:25:09         0.0         0.0
  11:25:10         0.0         0.0
  11:25:11         0.0         0.0
  11:25:12         0.0         0.0
  11:25:13         0.0         0.0
  11:25:14         0.0         0.0
  11:25:15         0.0         0.0
  11:25:16         0.0         0.0
  11:25:17         0.0         0.0
  11:25:18         0.0         0.0
  11:25:19         0.0         0.0
  11:25:20         0.0         0.0
  11:25:21         0.0         0.0
  11:25:22         0.0         0.0
  11:25:23         0.0         0.0
  11:25:24         0.0         0.0
  11:25:25         0.0         0.0
  11:25:26         0.0         0.0
  11:25:27         0.0         0.0
  11:25:28         0.0         0.0
  11:25:29         0.0         0.0
  11:25:30         0.0         0.0
  11:25:31         0.0         0.0
  11:25:32         0.0         0.0
  11:25:33         0.0         0.0
  11:25:34         0.0         0.0
  11:25:35         0.0         0.0
  11:25:36         0.0         0.0
  11:25:37         0.0         0.0
  11:25:38         0.0         0.0
  11:25:39         0.0         0.0
  11:25:40         0.0         0.0
  11:25:41         0.0         0.0
  11:25:42         0.0         0.0
  11:25:43         0.0         0.0
  11:25:44         0.0         0.0
  11:25:45         0.0         0.0
  11:25:46         0.0         0.0
  11:25:47         0.0         0.0
  11:25:48         0.0         0.0
  11:25:49         0.0         0.0
  11:25:50         0.0         0.0
  11:25:51         0.0         0.0
  11:25:52         0.0         0.0
  11:25:53         0.0         0.0
  11:25:54         0.0         0.0
  11:25:55         0.0         0.0
  11:25:56         0.0         0.0
  11:25:57         0.0         0.0
