      Time     KB/s_in    KB/s_out
  10:39:54         0.0         0.0
  10:39:55         0.0         0.0
  10:39:56         0.0         0.0
  10:39:57         0.0         0.0
  10:39:58         0.0         0.0
  10:39:59         0.0         0.0
  10:40:00         0.0         0.0
  10:40:01         0.0         0.0
  10:40:02         0.0         0.0
  10:40:03         0.0         0.0
  10:40:04         0.0         0.0
  10:40:05         0.0         0.1
  10:40:06         0.0         0.0
  10:40:07         0.0         0.0
  10:40:08         0.0         0.0
  10:40:09         0.0         0.0
  10:40:10         0.0         0.0
  10:40:11         0.0         0.0
  10:40:12         0.0         0.0
  10:40:13         0.0         0.0
  10:40:14         0.0         0.0
  10:40:15         0.0         0.0
  10:40:16         0.0         0.0
  10:40:17         0.0         0.0
  10:40:18         0.0         0.0
  10:40:19         0.0         0.0
  10:40:20         0.0         0.0
  10:40:21         0.0         0.0
  10:40:22         0.0         0.1
  10:40:23         0.0         0.0
  10:40:24         0.0         0.0
  10:40:25         0.0         0.0
  10:40:26         0.0         0.3
  10:40:27         0.0         0.2
  10:40:28         0.0         0.0
  10:40:29         0.0         0.0
  10:40:30         0.0         0.0
  10:40:31         0.0         0.0
  10:40:32         0.0         0.1
  10:40:33         0.0         0.0
  10:40:34         0.0         0.0
  10:40:35         0.0         0.0
  10:40:36         0.0         0.0
  10:40:37         0.0         0.0
  10:40:38         0.1         0.1
  10:40:39         0.0         0.0
  10:40:40         0.0         0.0
  10:40:41         0.0         0.0
  10:40:42         0.0         0.0
  10:40:43         0.0         0.0
  10:40:44         0.0         0.0
  10:40:45         0.0         0.0
  10:40:46         0.0         0.0
  10:40:47         0.0         0.0
  10:40:48         0.0         0.0
  10:40:49         0.0         0.0
  10:40:50         0.0         0.0
  10:40:51         0.0         0.0
  10:40:52         0.0         0.0
  10:40:53         0.0         0.0
  10:40:54         0.0         0.0
  10:40:55         0.0         0.0
  10:40:56         0.0         0.0
  10:40:57         0.0         0.0
  10:40:58         0.0         0.0
  10:40:59         0.0         0.0
  10:41:00         0.0         0.0
  10:41:01         0.0         0.0
  10:41:02         0.0         0.0
  10:41:03         0.0         0.0
  10:41:04         0.0         0.0
  10:41:05         0.0         0.0
  10:41:06         0.0         0.0
  10:41:07         0.0         0.0
  10:41:08         0.0         0.0
  10:41:09         0.0         0.0
  10:41:10         0.0         0.0
  10:41:11         0.0         0.0
  10:41:12         0.0         0.0
  10:41:13         0.0         0.0
  10:41:14         0.0         0.0
  10:41:15         0.0         0.0
  10:41:16         0.0         0.0
  10:41:17         0.0         0.0
  10:41:18         0.0         0.0
  10:41:19         0.0         0.0
  10:41:20         0.0         0.0
  10:41:21         0.0         0.0
  10:41:22         0.0         0.0
  10:41:23         0.0         0.0
  10:41:24         0.0         0.0
  10:41:25         0.0         0.0
  10:41:26         0.0         0.0
  10:41:27         0.0         0.0
  10:41:28         0.0         0.0
  10:41:29         0.0         0.0
  10:41:30         0.0         0.0
  10:41:31         0.0         0.0
  10:41:32         0.0         0.0
  10:41:33         0.0         0.0
  10:41:34         0.0         0.0
  10:41:35         0.0         0.0
  10:41:36         0.0         0.0
  10:41:37         0.0         0.0
  10:41:38         0.0         0.0
  10:41:39         0.0         0.0
  10:41:40         0.0         0.0
  10:41:41         0.0         0.0
  10:41:42         0.0         0.0
  10:41:43         0.0         0.0
  10:41:44         0.0         0.0
  10:41:45         0.0         0.0
